Country,Warnings,date,isHeatWave,isHeatWaveCat
Afghanistan,[0],09/27/2023,2,Unknown
Albania,[0],09/27/2023,2,Unknown
Algeria,"['Dust storm/Sandstorm', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'Yes', 'Yes', '2 jours', 'Yes', 'Yes', 'No', 'Yes', 'Yes']",09/27/2023,1,Yes
Andorra,[0],09/27/2023,2,Unknown
Angola,"['Drought/Dry spell', 'Flood', 'Fog', 'Lightning', 'Rain/Wet Spell', 'Wind', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,0,No
Antigua and Barbuda,[0],09/26/2023,2,Unknown
Argentina,"['Cold wave', 'Drought/Dry spell', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Volcanic ash', 'Wind', 'Yes', 'Yes', 'Yes', 'máximo 72 hs', 'Yes', 'Yes', 'No', 'Yes', 'No', 'el 100']",09/29/2023,1,Yes
Armenia,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High UV radiation', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Yes', 'No']",09/29/2023,1,Yes
Australia,"['Extra-tropical cyclone', 'Flood', 'Fog', 'Frost', 'Hail', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Landslide/Mudslide & Debris flow', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Tropical cyclone', 'Tsunami', 'Volcanic ash', 'Yes', 'Yes', 'Yes', 'Various', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'Total Population']",09/29/2023,0,No
Austria,"['Avalanche', 'Cold wave', 'Drought/Dry spell', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High UV radiation', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Space weather event', 'Thunderstorms/Squall lines', 'Yes', 'Yes', 'Yes', '5 days', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '100.000']",09/27/2023,1,Yes
Azerbaijan,[0],09/26/2023,2,Unknown
Bahamas,[0],09/27/2023,2,Unknown
Bahrain,[0],09/29/2023,2,Unknown
Bangladesh,[0],09/27/2023,2,Unknown
Barbados,"['Drought/Dry spell', 'Flood', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Tropical cyclone', 'Tsunami', 'Volcanic ash', 'Wind', 'Yes', 'Yes', 'Yes', '48 hours', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'This would need to be assessed']",09/29/2023,0,No
Belarus,[0],09/29/2023,2,Unknown
Belgium,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Yes', 'Yes', 'Yes', 'https://www.meteo.be/fr/meteo/avertissements/explications-avertissements jaune: max 48 heures/orange: max 24 heures/rouge: max 12 heures', 'Yes', 'Yes', 'Yes', 'Yes', '8720']",09/29/2023,1,Yes
Belize,"['Drought/Dry spell', 'Flood', 'Fog', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Benin,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Space weather event', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'plus de 50']",09/29/2023,1,Yes
Bhutan,"['Flood', 'Landslide/Mudslide & Debris flow', 'Rain/Wet Spell', 'Snow', 'Tropical cyclone', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Flood/GLOF early warning systems are set by basin not based on the Administrative boundaries']",09/27/2023,0,No
Bolivia (Plurinational State of),[0],09/26/2023,2,Unknown
Bosnia and Herzegovina,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High UV radiation', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wind', 'No', 'Yes', 'Yes', '2 days', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'the entire territory of the entity has 1,000,000 inhabitants who are covered by a warning system through the mechanism of the republic administration of civil protection']",09/27/2023,1,Yes
