country,_merge
American Samoa,left_only
Antarctica,left_only
Bermuda,left_only
Greenland,left_only
Hong Kong,left_only
Iran,left_only
Laos,left_only
Puerto Rico,left_only
Russia,left_only
South Korea,left_only
Taiwan,left_only
Tanzania,left_only
Turkey,left_only
United Kingdom,left_only
Papua New Guinea,right_only
Singapore,right_only
Sao Tome and Principe,right_only
Czech Republic,right_only
Djibouti,right_only
Sri Lanka,right_only
Burkina Faso,right_only
Brunei Darussalam,right_only
British Caribbean Territories - Montserrat,right_only
Nicaragua,right_only
Brazil,right_only
Kuwait,right_only
Ireland,right_only
Poland,right_only
Bolivia (Plurinational State of),right_only
North Macedonia,right_only
Tuvalu,right_only
Morocco,right_only
Kiribati,right_only
Seychelles,right_only
Uzbekistan,right_only
Egypt,right_only
Curaçao and Sint Maarten,right_only
Democratic People's Republic of Korea,right_only
Chad,right_only
Azerbaijan,right_only
Chile,right_only
Zambia,right_only
British Caribbean Territories - Anguilla,right_only
Latvia,right_only
Ukraine,right_only
"Macao, China",right_only
Antigua and Barbuda,right_only
Saint Lucia,right_only
Cameroon,right_only
Croatia,right_only
"Hong Kong, China",right_only
British Caribbean Territories,right_only
Malta,right_only
Kazakhstan,right_only
United States of America,right_only
Norway,right_only
Madagascar,right_only
Thailand,right_only
Cambodia,right_only
Guyana,right_only
Afghanistan,right_only
Iraq,right_only
Slovakia,right_only
Costa Rica,right_only
Ghana,right_only
Algeria,right_only
Côte d'Ivoire,right_only
United Arab Emirates,right_only
Albania,right_only
Tajikistan,right_only
Mongolia,right_only
Eritrea,right_only
Lao People's Democratic Republic,right_only
Micronesia (Federated States of),right_only
Malawi,right_only
Monaco,right_only
Bhutan,right_only
Canada,right_only
Burundi,right_only
Hungary,right_only
United Republic of Tanzania,right_only
Nauru,right_only
Greece,right_only
Germany,right_only
Colombia,right_only
France,right_only
Andorra,right_only
Austria,right_only
Cyprus,right_only
Finland,right_only
Comoros,right_only
Maldives,right_only
Togo,right_only
Bosnia and Herzegovina,right_only
Central African Republic,right_only
Myanmar,right_only
Cabo Verde,right_only
Bahamas,right_only
Suriname,right_only
Argentina,right_only
French Polynesia,right_only
Peru,right_only
Kenya,right_only
Sierra Leone,right_only
Mozambique,right_only
British Caribbean Territories - British Virgin Islands,right_only
Republic of Moldova,right_only
Ecuador,right_only
Turkmenistan,right_only
Mexico,right_only
Uganda,right_only
British Caribbean Territories - Cayman Islands,right_only
Tonga,right_only
Niue,right_only
"Venezuela, Bolivarian Republic of",right_only
Saudi Arabia,right_only
Solomon Islands,right_only
Dominica,right_only
Gambia,right_only
Italy,right_only
Zimbabwe,right_only
Fiji,right_only
El Salvador,right_only
Malaysia,right_only
Liberia,right_only
Niger,right_only
Mali,right_only
Japan,right_only
Lebanon,right_only
Jamaica,right_only
Democratic Republic of the Congo,right_only
Vietnam,right_only
Vanuatu,right_only
Montenegro,right_only
Guinea,right_only
Mauritania,right_only
Dominican Republic,right_only
Honduras,right_only
Eswatini,right_only
Ethiopia,right_only
Lesotho,right_only
Australia,right_only
Gabon,right_only
Haiti,right_only
Nigeria,right_only
Romania,right_only
Senegal,right_only
Sudan,right_only
Timor-Leste,right_only
Botswana,right_only
New Caledonia,right_only
British Caribbean Territories - Turks and Caicos Islands,right_only
Uruguay,right_only
Denmark,right_only
Barbados,right_only
Belize,right_only
Namibia,right_only
Qatar,right_only
Rwanda,right_only
Serbia,right_only
South Africa,right_only
Yemen,right_only
Mauritius,right_only
Cook Islands,right_only
Guinea Bissau,right_only
Slovenia,right_only
China,right_only
India,right_only
Türkiye,right_only
Tunisia,right_only
Somalia,right_only
Benin,right_only
Switzerland,right_only
Russian Federation,right_only
Congo,right_only
Iran (Islamic Republic of),right_only
Trinidad and Tobago,right_only
Syrian Arab Republic,right_only
Angola,right_only
Paraguay,right_only
Sweden,right_only
Spain,right_only
Guatemala,right_only
Armenia,right_only
Belgium,right_only
South Sudan,right_only
Netherlands,right_only
Estonia,right_only
Bulgaria,right_only
Kyrgyzstan,right_only
United Kingdom of Great Britain and Northern Ireland,right_only
Republic of Korea,right_only
Libya,right_only
Bahrain,right_only
