Country Name,Heatwaves Warning Systems (WMO data)
Afghanistan,Unknown
Albania,Unknown
Algeria,Yes
Andorra,Unknown
Angola,No
Antigua and Barbuda,Unknown
Argentina,Yes
Armenia,Yes
Australia,No
Austria,Yes
Azerbaijan,Unknown
Bahamas,Unknown
Bahrain,Unknown
Bangladesh,Unknown
Barbados,No
Belarus,Unknown
Belgium,Yes
Belize,Yes
Benin,Yes
Bhutan,No
Bolivia (Plurinational State of),Unknown
Bosnia and Herzegovina,Yes
Botswana,Yes
Brazil,Yes
British Caribbean Territories,No
British Caribbean Territories - Anguilla,Unknown
British Caribbean Territories - British Virgin Islands,Unknown
British Caribbean Territories - Cayman Islands,Unknown
British Caribbean Territories - Montserrat,Unknown
British Caribbean Territories - Turks and Caicos Islands,Unknown
Brunei Darussalam,Unknown
Bulgaria,Yes
Burkina Faso,Yes
Burundi,No
Cabo Verde,No
Cambodia,No
Cameroon,Yes
Canada,Yes
Central African Republic,Yes
Chad,No
Chile,Yes
China,Yes
Colombia,Yes
Comoros,No
Congo,No
Cook Islands,Unknown
Costa Rica,Yes
Croatia,Yes
Cuba,Unknown
Curaçao and Sint Maarten,Unknown
Cyprus,Yes
Czech Republic,Yes
Côte d'Ivoire,Yes
Democratic People's Republic of Korea,Unknown
Democratic Republic of the Congo,No
Denmark,Yes
Djibouti,No
Dominica,No
Dominican Republic,No
Ecuador,Yes
Egypt,Yes
El Salvador,Yes
Eritrea,Unknown
Estonia,Yes
Eswatini,Unknown
Ethiopia,Unknown
Fiji,Unknown
Finland,Yes
France,Yes
French Polynesia,Unknown
Gabon,No
Gambia,No
Georgia,Unknown
Germany,Yes
Ghana,No
Greece,Yes
Guatemala,No
Guinea,No
Guinea Bissau,Yes
Guyana,Yes
Haiti,Unknown
Honduras,Unknown
"Hong Kong, China",Yes
Hungary,Yes
Iceland,Unknown
India,Yes
Indonesia,Unknown
Iran (Islamic Republic of),Unknown
Iraq,Yes
Ireland,Yes
Israel,Unknown
Italy,Yes
Jamaica,No
Japan,Yes
Jordan,Unknown
Kazakhstan,Unknown
Kenya,No
Kiribati,Unknown
Kuwait,Unknown
Kyrgyzstan,Unknown
Lao People's Democratic Republic,No
Latvia,Unknown
Lebanon,Unknown
Lesotho,No
Liberia,No
Libya,Yes
Lithuania,Unknown
Luxembourg,Unknown
"Macao, China",Yes
Madagascar,Yes
Malawi,Yes
Malaysia,Yes
Maldives,Unknown
Mali,Yes
Malta,Unknown
Mauritania,Yes
Mauritius,Yes
Mexico,Yes
Micronesia (Federated States of),Unknown
Monaco,Unknown
Mongolia,Yes
Montenegro,Yes
Morocco,Yes
Mozambique,Unknown
Myanmar,Yes
Namibia,Yes
Nauru,Unknown
Nepal,No
Netherlands,Yes
New Caledonia,Unknown
New Zealand,Unknown
Nicaragua,Unknown
Niger,Yes
Nigeria,Yes
Niue,Unknown
North Macedonia,Yes
Norway,Yes
Oman,Unknown
Pakistan,Unknown
Panama,No
Papua New Guinea,Unknown
Paraguay,Yes
Peru,Yes
Philippines,No
Poland,Yes
Portugal,Unknown
Qatar,Unknown
Republic of Korea,Yes
Republic of Moldova,Yes
Romania,Yes
Russian Federation,Unknown
Rwanda,No
Saint Lucia,No
Samoa,Unknown
Sao Tome and Principe,Unknown
Saudi Arabia,Yes
Senegal,Yes
Serbia,Yes
Seychelles,No
Sierra Leone,No
Singapore,Yes
Slovakia,Yes
Slovenia,Yes
Solomon Islands,Unknown
Somalia,Unknown
South Africa,Yes
South Sudan,No
Spain,Yes
Sri Lanka,Unknown
Sudan,Yes
Suriname,Unknown
Sweden,Yes
Switzerland,Yes
Syrian Arab Republic,Unknown
Tajikistan,Unknown
Thailand,No
Timor-Leste,Unknown
Togo,No
Tonga,Unknown
Trinidad and Tobago,Yes
Tunisia,Yes
Turkmenistan,Unknown
Tuvalu,No
Turkey,Unknown
Uganda,Unknown
Ukraine,Yes
United Arab Emirates,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Republic of Tanzania,Yes
United States of America,Yes
Uruguay,Yes
Uzbekistan,Unknown
Vanuatu,Unknown
Venezuela (Bolivarian Republic of),Unknown
Vietnam,Yes
Yemen,Unknown
Zambia,Unknown
Zimbabwe,Yes
