Author(s),Title,Publication Date,Source,Page Numbers,Link,Category,Abstract,Countries,heatwave,heat wave,heat  wave,heat  action  plan,heat  health,heat early warning system,heat-health action plan,heat-health warning  systems,extreme heat management,heat wave management,public health heat wave alert
"Z Xu, G FitzGerald, Y Guo, B Jalaludin, S Tong - Environment international, 2016 - Elsevier",Impact of heatwave on mortality under different heatwave definitions: a systematic review and meta-analysis,"Z Xu, G FitzGerald, Y Guo, B Jalaludin, S Tong - Environment international, 2016 - Elsevier","Z Xu, G FitzGerald, Y Guo, B Jalaludin, S Tong - Environment international, 2016 - Elsevier",[PDF] researchgate.net,https://www.sciencedirect.com/science/article/pii/S0160412016300411,Academic Journal,"… of heatwaves on mortality, evaluated different heatwave definitions used in the existing 
literature, and pooled the mortality risks associated with heatwaves under various heatwave …",,0,0,0,0,0,0,0,0,0,0,0
"S Campbell, TA Remenyi, CJ White, FH Johnston - Health & place, 2018 - Elsevier",Heatwave and health impact research: A global review,"S Campbell, TA Remenyi, CJ White, FH Johnston - Health & place, 2018 - Elsevier","S Campbell, TA Remenyi, CJ White, FH Johnston - Health & place, 2018 - Elsevier",[HTML] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S1353829218301205,Academic Journal,"… in these indicators had occurred during the period of the heatwave. Studies examining both 
cold waves and heatwaves were included. Both whole population level studies and partial …",,0,0,0,0,0,0,0,0,0,0,0
"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",Human contribution to the European heatwave of 2003,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com","PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",[PDF] grandkidzfuture.com,https://www.nature.com/articles/nature03089,Academic Journal,"… It is an ill-posed question whether the 2003 heatwave was … the risk of the occurrence of such 
a heatwave 6 , 7 , 8 . Here we … the risk of a heatwave exceeding this threshold magnitude. …","Austria, China, Colombia, Germany, France, India, Italy, Japan, Laos, Mali",1,1,0,0,0,0,0,0,0,0,0
"A Flynn, C McGreevy, EC Mulkerrin - Qjm, 2005 - academic.oup.com",Why do older patients die in a heatwave?,"A Flynn, C McGreevy, EC Mulkerrin - Qjm, 2005 - academic.oup.com","A Flynn, C McGreevy, EC Mulkerrin - Qjm, 2005 - academic.oup.com",[HTML] oup.com,https://academic.oup.com/qjmed/article-abstract/98/3/227/1538832,Academic Journal,"More than 11000 people were registered as dying in France during the first two weeks of 
August, 2003. 1 This confirmed a significant increase in mortality compared with a similar …",,0,0,0,0,0,0,0,0,0,0,0
"SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com",Changes in regional heatwave characteristics as a function of increasing global temperature,"SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com","SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com",[HTML] nature.com,https://www.nature.com/articles/s41598-017-12520-2,Academic Journal,"… up to 120 extra heatwave days/season if 5 C is reached. Increases in heatwave intensity are 
… Between warming thresholds of 1.5 C and 2.5 C, the return intervals of intense heatwaves …","Australia, Chile, China, United Kingdom, India, Italy, Japan, Mali, Russia, United States, South Africa",1,1,0,0,0,0,0,0,0,0,0
"M Stefanon, F D'Andrea… - Environmental Research …, 2012 - iopscience.iop.org",Heatwave classification over Europe and the Mediterranean region,"M Stefanon, F D'Andrea… - Environmental Research …, 2012 - iopscience.iop.org","M Stefanon, F D'Andrea… - Environmental Research …, 2012 - iopscience.iop.org",[PDF] iop.orgFull View,https://iopscience.iop.org/article/10.1088/1748-9326/7/1/014023/meta,Academic Journal,"… of a heatwave event and identify the typical heatwaves of … In section 2, we propose a 
definition of heatwave event and … set of previously defined heatwave events into typical classes…",,0,0,0,0,0,0,0,0,0,0,0
"JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com",The excess heat factor: a metric for heatwave intensity and its use in classifying heatwave severity,"JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com","JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/12/1/227,Academic Journal,"… heatwaves threaten. Analysis and forecasts of low-intensity heatwaves would also be 
included in a heatwave … Measurement and tracking of more frequent low-intensity heatwaves …","Australia, Switzerland, China, France, Georgia, Cambodia, Mali, Oman, Sweden, United States",1,1,0,0,0,0,0,0,0,0,0
"SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com",Increasing trends in regional heatwaves,"SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com","SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com",[HTML] nature.comFull View,https://www.nature.com/articles/s41467-020-16970-7,Academic Journal,"… temperature dataset and key heatwave metrics, we systematically examine regional and 
global observed heatwave trends. In almost all regions, heatwave frequency demonstrates the …","Australia, Brazil, Canada, Switzerland, China, United Kingdom, Greenland, Indonesia, India, Iceland, Italy, Japan, Mali, Russia, United States",1,1,0,0,0,0,0,0,0,0,0
"J Kravchenko, AP Abernethy, M Fawzy… - American journal of …, 2013 - Elsevier",Minimization of heatwave morbidity and mortality,"J Kravchenko, AP Abernethy, M Fawzy… - American journal of …, 2013 - Elsevier","J Kravchenko, AP Abernethy, M Fawzy… - American journal of …, 2013 - Elsevier",Save Cite Cited by 197 Related articles All 10 versions  ,https://www.sciencedirect.com/science/article/pii/S0749379712008781,Academic Journal,"… to as heat waves) … heat waves have occasionally created substantial public health challenges, 
global climate changes are projected to increase the frequency and duration of heat waves…",,0,0,0,0,0,0,0,0,0,0,0
"MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com",Genetic tropicalisation following a marine heatwave,"MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com","MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com",[HTML] nature.com,https://www.nature.com/articles/s41598-020-69665-w,Academic Journal,"… -occurring seaweeds within the footprint of the heatwave that opened space for rapid local 
… the footprint of the heatwave. Thus, extreme events such as marine heatwaves not only lead …","Australia, Chile, China, Cuba, Denmark, India, Italy, Japan, Mali, Oman",1,1,0,0,0,0,0,0,0,0,0
"PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org",On the definition of a heat wave,"PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org","PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org",[PDF] vnu.edu.vn,https://journals.ametsoc.org/view/journals/apme/40/4/1520-0450_2001_040_0762_otdoah_2.0.co_2.xml?tab_body=fulltext-display,Academic Journal,"… perceived as heat waves. Thus, it is likely that a similar number of perceived heat events will 
… much of the nation had less than three heat waves per decade, and this value was adopted …",,0,0,0,0,0,0,0,0,0,0,0
"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Heat wave hazards: an overview of heat wave impacts in Canada,"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer","KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Save Cite Cited by 244 Related articles All 13 versions  ,https://link.springer.com/article/10.1023/A:1022946528157,Academic Journal,"… in defining heat waves and harmful hot weather events, followed by a spatial and historical 
overview of heat waves across Canada, and an assessment of heat wave adaptation …","Australia, Canada, Switzerland, Kenya, United States",0,1,0,0,0,0,0,0,0,0,0
"R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis",A review of the European summer heat wave of 2003,"R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis","R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis",[PDF] researchgate.net,https://www.tandfonline.com/doi/abs/10.1080/10643380802238137,Academic Journal,"… This paper reviews the European summer heat wave of 2003… ) have contributed to the 
heat wave of 2003, whereas the role … in Europe during the heat wave, mostly elderly persons. …",,0,0,0,0,0,0,0,0,0,0,0
"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",Heat waves,"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS","DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",[PDF] researchgate.net,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.61.41,Academic Journal,"The concept of transmission of heat by waves is reviewed and interpreted. The notion of an 
effective thermal conductivity, an effective heat capacity, and relaxation functions for heat and …","Canada, Italy, Japan, United States",0,1,0,0,0,0,0,0,0,0,0
"GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov",Heat waves in the United States: mortality risk during heat waves and effect modification by heat wave characteristics in 43 US communities,"GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov","GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov",[HTML] nih.gov,https://ehp.niehs.nih.gov/doi/abs/10.1289/ehp.1002313,Academic Journal,"… heat wave compared with non-heat wave days, controlling for potential confounders. We 
combined individual heat wave … how heat wave mortality effects were modified by heat wave …",,0,0,0,0,0,0,0,0,0,0,0
"J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","Heat wave impacts on mortality in Shanghai, 1998 and 2003","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer",[PDF] researchgate.net,https://link.springer.com/article/10.1007/s00484-006-0058-3,Academic Journal,"… , heat waves both in 1998 and in 2003 all led to elevated mortality in Shanghai, China. While 
the heat waves … two years’ heat waves, and to better understand how heat impacts human …","Austria, China, Germany, Japan, Kenya, Netherlands, Oman, United States",1,1,0,0,0,0,0,0,0,0,0
"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",Human contribution to the European heatwave of 2003,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com","PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",[PDF] grandkidzfuture.com,https://www.nature.com/articles/nature03089,Academic Journal,"… We may have underestimated the FAR of a heatwave in 2003 by … Given the effects of the 
2003 heatwave, this suggests a … The 2003 heat wave in Europe: A shape of things to come? …","Austria, China, Colombia, Germany, France, India, Italy, Japan, Laos, Mali",1,1,0,0,0,0,0,0,0,0,0
"FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library",Heat wave changes in the eastern Mediterranean since 1960,"FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library","FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library",[PDF] wiley.comFull View,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2009GL041841,Academic Journal,"… ), of the longest heat wave per summer is calculated. We also focus on changes in heat wave 
… of summer heat waves per year, and the heat wave length (HWL 95 , in days) of all summer …",,0,0,0,0,0,0,0,0,0,0,0
"SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org",Municipal heat wave response plans,"SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org","SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org",[PDF] aphapublications.orgFull View,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.94.9.1520,Academic Journal,"… Heat wave planning should be organized around a few … in reducing heat-related mortality 
during recent heat waves. … Comprehensive heat response requires involvement of many …",,0,0,0,0,0,0,0,0,0,0,0
"S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR",Impact of high temperatures on mortality: is there an added heat wave effect?,"S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR","S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR",Save Cite Cited by 523 Related articles All 13 versions  ,https://www.jstor.org/stable/20486291,Academic Journal,"… hot weather using a generalized estimating equations approach. We modeled temperature 
and specific heat wave … an identified threshold, an additional ""heat wave"" effect of 5.5% was …",,0,0,0,0,0,0,0,0,0,0,0
"PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org",On the definition of a heat wave,"PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org","PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org",[PDF] vnu.edu.vn,https://journals.ametsoc.org/view/journals/apme/40/4/1520-0450_2001_040_0762_otdoah_2.0.co_2.xml?tab_body=fulltext-display,Academic Journal,"… perceived as heat waves. Thus, it is likely that a similar number of perceived heat events will 
… much of the nation had less than three heat waves per decade, and this value was adopted …",,0,0,0,0,0,0,0,0,0,0,0
"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Heat wave hazards: an overview of heat wave impacts in Canada,"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer","KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Save Cite Cited by 244 Related articles All 13 versions  ,https://link.springer.com/article/10.1023/A:1022946528157,Academic Journal,"… in defining heat waves and harmful hot weather events, followed by a spatial and historical 
overview of heat waves across Canada, and an assessment of heat wave adaptation …","Australia, Canada, Switzerland, Kenya, United States",0,1,0,0,0,0,0,0,0,0,0
"R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis",A review of the European summer heat wave of 2003,"R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis","R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis",[PDF] researchgate.net,https://www.tandfonline.com/doi/abs/10.1080/10643380802238137,Academic Journal,"… This paper reviews the European summer heat wave of 2003… ) have contributed to the 
heat wave of 2003, whereas the role … in Europe during the heat wave, mostly elderly persons. …",,0,0,0,0,0,0,0,0,0,0,0
"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",Heat waves,"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS","DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",[PDF] researchgate.net,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.61.41,Academic Journal,"The concept of transmission of heat by waves is reviewed and interpreted. The notion of an 
effective thermal conductivity, an effective heat capacity, and relaxation functions for heat and …","Canada, Italy, Japan, United States",0,1,0,0,0,0,0,0,0,0,0
"GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov",Heat waves in the United States: mortality risk during heat waves and effect modification by heat wave characteristics in 43 US communities,"GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov","GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov",[HTML] nih.gov,https://ehp.niehs.nih.gov/doi/abs/10.1289/ehp.1002313,Academic Journal,"… heat wave compared with non-heat wave days, controlling for potential confounders. We 
combined individual heat wave … how heat wave mortality effects were modified by heat wave …",,0,0,0,0,0,0,0,0,0,0,0
"J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","Heat wave impacts on mortality in Shanghai, 1998 and 2003","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer",[PDF] researchgate.net,https://link.springer.com/article/10.1007/s00484-006-0058-3,Academic Journal,"… , heat waves both in 1998 and in 2003 all led to elevated mortality in Shanghai, China. While 
the heat waves … two years’ heat waves, and to better understand how heat impacts human …","Austria, China, Germany, Japan, Kenya, Netherlands, Oman, United States",1,1,0,0,0,0,0,0,0,0,0
"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",Human contribution to the European heatwave of 2003,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com","PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",[PDF] grandkidzfuture.com,https://www.nature.com/articles/nature03089,Academic Journal,"… We may have underestimated the FAR of a heatwave in 2003 by … Given the effects of the 
2003 heatwave, this suggests a … The 2003 heat wave in Europe: A shape of things to come? …","Austria, China, Colombia, Germany, France, India, Italy, Japan, Laos, Mali",1,1,0,0,0,0,0,0,0,0,0
"FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library",Heat wave changes in the eastern Mediterranean since 1960,"FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library","FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library",[PDF] wiley.comFull View,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2009GL041841,Academic Journal,"… ), of the longest heat wave per summer is calculated. We also focus on changes in heat wave 
… of summer heat waves per year, and the heat wave length (HWL 95 , in days) of all summer …",,0,0,0,0,0,0,0,0,0,0,0
"SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org",Municipal heat wave response plans,"SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org","SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org",[PDF] aphapublications.orgFull View,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.94.9.1520,Academic Journal,"… Heat wave planning should be organized around a few … in reducing heat-related mortality 
during recent heat waves. … Comprehensive heat response requires involvement of many …",,0,0,0,0,0,0,0,0,0,0,0
