,Author(s),Title,Publication Date,Source,Page Numbers,Link,Category,Abstract,Countries,heatwave,heat wave,heat  wave,heat  action  plan,heat  health,heat early warning system,heat-health action plan,heat-health warning  systems,extreme heat management,heat wave management,public health heat wave alert
2,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",Human contribution to the European heatwave of 2003,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com","PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",[PDF] grandkidzfuture.com,https://www.nature.com/articles/nature03089,Academic Journal,"… It is an ill-posed question whether the 2003 heatwave was … the risk of the occurrence of such 
a heatwave 6 , 7 , 8 . Here we … the risk of a heatwave exceeding this threshold magnitude. …","Austria, China, Colombia, Germany, France, India, Italy, Japan, Laos, Mali",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com",Changes in regional heatwave characteristics as a function of increasing global temperature,"SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com","SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com",[HTML] nature.com,https://www.nature.com/articles/s41598-017-12520-2,Academic Journal,"… up to 120 extra heatwave days/season if 5 C is reached. Increases in heatwave intensity are 
… Between warming thresholds of 1.5 C and 2.5 C, the return intervals of intense heatwaves …","Australia, Chile, China, United Kingdom, India, Italy, Japan, Mali, Russia, United States, South Africa",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com",The excess heat factor: a metric for heatwave intensity and its use in classifying heatwave severity,"JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com","JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/12/1/227,Academic Journal,"… heatwaves threaten. Analysis and forecasts of low-intensity heatwaves would also be 
included in a heatwave … Measurement and tracking of more frequent low-intensity heatwaves …","Australia, Switzerland, China, France, Georgia, Cambodia, Mali, Oman, Sweden, United States",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com",Increasing trends in regional heatwaves,"SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com","SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com",[HTML] nature.comFull View,https://www.nature.com/articles/s41467-020-16970-7,Academic Journal,"… temperature dataset and key heatwave metrics, we systematically examine regional and 
global observed heatwave trends. In almost all regions, heatwave frequency demonstrates the …","Australia, Brazil, Canada, Switzerland, China, United Kingdom, Greenland, Indonesia, India, Iceland, Italy, Japan, Mali, Russia, United States",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com",Genetic tropicalisation following a marine heatwave,"MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com","MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com",[HTML] nature.com,https://www.nature.com/articles/s41598-020-69665-w,Academic Journal,"… -occurring seaweeds within the footprint of the heatwave that opened space for rapid local 
… the footprint of the heatwave. Thus, extreme events such as marine heatwaves not only lead …","Australia, Chile, China, Cuba, Denmark, India, Italy, Japan, Mali, Oman",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Heat wave hazards: an overview of heat wave impacts in Canada,"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer","KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Save Cite Cited by 244 Related articles All 13 versions  ,https://link.springer.com/article/10.1023/A:1022946528157,Academic Journal,"… in defining heat waves and harmful hot weather events, followed by a spatial and historical 
overview of heat waves across Canada, and an assessment of heat wave adaptation …","Australia, Canada, Switzerland, Kenya, United States",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",Heat waves,"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS","DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",[PDF] researchgate.net,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.61.41,Academic Journal,"The concept of transmission of heat by waves is reviewed and interpreted. The notion of an 
effective thermal conductivity, an effective heat capacity, and relaxation functions for heat and …","Canada, Italy, Japan, United States",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","Heat wave impacts on mortality in Shanghai, 1998 and 2003","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer",[PDF] researchgate.net,https://link.springer.com/article/10.1007/s00484-006-0058-3,Academic Journal,"… , heat waves both in 1998 and in 2003 all led to elevated mortality in Shanghai, China. While 
the heat waves … two years’ heat waves, and to better understand how heat impacts human …","Austria, China, Germany, Japan, Kenya, Netherlands, Oman, United States",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",Human contribution to the European heatwave of 2003,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com","PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",[PDF] grandkidzfuture.com,https://www.nature.com/articles/nature03089,Academic Journal,"… We may have underestimated the FAR of a heatwave in 2003 by … Given the effects of the 
2003 heatwave, this suggests a … The 2003 heat wave in Europe: A shape of things to come? …","Austria, China, Colombia, Germany, France, India, Italy, Japan, Laos, Mali",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Heat wave hazards: an overview of heat wave impacts in Canada,"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer","KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Save Cite Cited by 244 Related articles All 13 versions  ,https://link.springer.com/article/10.1023/A:1022946528157,Academic Journal,"… in defining heat waves and harmful hot weather events, followed by a spatial and historical 
overview of heat waves across Canada, and an assessment of heat wave adaptation …","Australia, Canada, Switzerland, Kenya, United States",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
