title,link
Municipal heat wave response plans.,https://pubmed.ncbi.nlm.nih.gov/15333307/
Heat wave intensity and daily mortality in four of the largest cities of Spain.,https://pubmed.ncbi.nlm.nih.gov/31884190/
Prognostic factors in heat wave related deaths: a meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/17698676/
"Impact of different heat wave definitions on daily mortality in Bandafassi, Senegal.",https://pubmed.ncbi.nlm.nih.gov/33819272/
Are we prepared for next heat wave?,https://pubmed.ncbi.nlm.nih.gov/26968298/
"Heat Wave-Associated Vibriosis, Sweden and Finland, 2014.",https://pubmed.ncbi.nlm.nih.gov/27314874/
"Heat-Related Emergency Department Visits During the Northwestern Heat Wave - United States, June 2021.",https://pubmed.ncbi.nlm.nih.gov/34292925/
Exposure to Heat Wave During Pregnancy and Adverse Birth Outcomes: An Exploration of Susceptible Windows.,https://pubmed.ncbi.nlm.nih.gov/31181014/
"Heat wave impacts on mortality in Shanghai, 1998 and 2003.",https://pubmed.ncbi.nlm.nih.gov/17039379/
"Association Between the 2021 Heat Wave in Portland, Oregon, and Seattle, Washington, and Emergency Department Visits.",https://pubmed.ncbi.nlm.nih.gov/36538316/
